comment,paslon,sentiment
pak andika dan hendra sangat sangat layakpintar rendah hati menguasai keadaancontoh seorang pemimpin,andika_hendi,positif
pilih nmr yg sesuai sama tujuan indonesia emas pak prabowo,luthfi_taj,positif
dari segi wajah aja pak prabowo kepaksa kala itu promosikan paslon 2,luthfi_taj,netral
ora ngaru jokowi dukung kmandika sllu sendiri dalam peperanganpaham itu polisismoga kalian bisa memili mna yng baikmakasih,"andika_hendi, luthfi_taj",negatif
no untuk preman jalanan berseragam,unknown,negatif
itu cuman ilusi tak akan ngaruh sama sekali buat masyarakatngaruh yang dekat sama paslonnya doank yakin,unknown,negatif
pilih 02 karena ngalap berkahnya kyai saya,luthfi_taj,negatif
terlalu muluk2 programnya 02,luthfi_taj,negatif
daya sains harus di majukan,unknown,netral
jawa tengah megah dan indah  semoga  berjaya semua nya,unknown,positif
dua duany dari pak brabowo,luthfi_taj,netral
nomor 1,andika_hendi,positif
andika yess,andika_hendi,positif
itu pantunnya kok ikan asin dimasak pake santanga enak bro wakak,unknown,negatif
semarang untuk andika hendy gak ngurus partai kami cinta tni daripada ladusing,andika_hendi,positif
اندكا هندي ممتاز,unknown,positif
"saya aja dari nias nge fans banget sama pak andika ini
rendah hati sopan santun dan sangat merakyat
kalau saya termasuk orang jateng saya sudah pasti nyoblos pak andika",andika_hendi,negatif
andika hendi unggul ya banjir dukungan,andika_hendi,negatif
buangbuang energi jateng sudah kapok dengan banteng 10 tahun pada ngapain aja,andika_hendi,negatif
jateng tetap pak andikapak hendi,andika_hendi,positif
"saya kagum sama pak andika sejak jadi ksad tni saya sering liat youtube jenengan bagaimana jenengan memperlakukan istri masyarakat cara senyum sampai cara berbicara saya akan bantu jenengan untuk jadi gubernur seperti saya bantu pak prabowo jadi presiden saya berharap jenengan bisa jadi gubernur jateng yang terbaik dari sebelumnya saya bersyukur ternyata orang saya kagumi adalah calon gubernur jawa tengah dimana saya termasuk daerah didalamnya saya hidup

dari muhlisin desa karangjati kabupaten pekalongan","andika_hendi, luthfi_taj",negatif
pak andika lebih smart dan langsung ke inti solusi lutfi cuma muter2 gajelas isi otaknya cuma apem,"andika_hendi, luthfi_taj",netral
maju terus pantang mundur p andika majukan jateng,andika_hendi,negatif
saya pilih tni krn tni bersama rakyat jawa tengah perkasa,andika_hendi,positif
pilih no 1 bukan krn partai tapi dari kinerja sblmnya,andika_hendi,negatif
pilih pemimpin itu musti pilih orangnya yang penyabar jujur membela rakyat kecil tidak banyak janji janji,unknown,negatif
all in 01,andika_hendi,positif
saya warga ambon tapi idola banget sama pak andika semoga saja pak andika dan pak hendi lolos sebagai gubernur dan wakil gubernur,andika_hendi,negatif
padahal wajahnya 01 kaya song kok komennya pd dari hati2 semua to malah argumennya selalu merendahkan,"andika_hendi, luthfi_taj",negatif
aku yes pak jendral andikaaku cuma bisa mendoakan semoga terpilihkarena saya ga bisa mencobloslg merantodi sulut,andika_hendi,positif
kalem vs ambisi  jateng perkasa,andika_hendi,netral
ya bagi siapa saja yang jadi saya mohon desa kami diperhatikan secara menyeluruh soalnya kami butuh jalan raya desanya yaitu desa torsino sebelah timur disitu ada tanggul dan sungae tolong itu diperhatikan kami warga setempat sangat berharap agar tanggul tersebut dijadikan jalan raya pintas sampae kecamatan kutoarjo soalnya tanggul itu sudah pada longsor dan sejak taun 98 sampae sekarang belum ada perbaikan tanggul dan gebanyaka dananya dimakan para bejabat,unknown,negatif
ganjar kok gak nyalon lagi biar seru debat nya,unknown,negatif
semoga pilkada jawa tengah lancaraamiin,unknown,netral
mantap,unknown,netral
tni lebih bisa di percaya,andika_hendi,netral
pak warga timbul sloko pemukiman yg hampir tenggelam di demak pt semen indonesia yg ilegal di tanah warga kendeng nasib nelayan dekat pltu batang dll kalo udah menang mereka masih menangis gak didengar bulshit apa yg disampein,luthfi_taj,negatif
serius kesehatan gratis,unknown,positif
andika,andika_hendi,netral
banyak buzerr ini,unknown,negatif
kelasnya andika  adalah calon presiden ri 1,andika_hendi,positif
ramba vs sambo,luthfi_taj,negatif
sambo jiwa nya baik tulus dengan rakyatnya tidak neka neko dlm memimpin rakyatnya insya allah di tangan sambo jawa tengah akan makmur dan sejahtera aamin ya rabbal alamin,luthfi_taj,positif
jateng pilih satu andika perkasa,andika_hendi,negatif
bawa bawa nama jokowi dan prabowo pula wkwk,luthfi_taj,negatif
biarpun 02 banyak spanduk aku ttp pilih 01,"andika_hendi, luthfi_taj",negatif
saya sekeluarga besar pilih tni bukan polisi,"andika_hendi, luthfi_taj",negatif
yang penting strategi bukan janji,unknown,netral
kita butuh pemimpin yg siap bekerja untuk rakyat jateng yg lebih baik dan perkasa,andika_hendi,positif
pak hendi kerjanya memang benar nyata kecepatan strategi joss,andika_hendi,positif
saya lihat comment yourube condong ke 1  tapi aku lihat realita di lapngan banyak yg condong ke 2  karena memang kampanye buat warga2 tertinggal tidak berdasarkan debat,"andika_hendi, luthfi_taj",negatif
usrek wae to gus,luthfi_taj,netral
"selama calon nya di dukung banteng 
knp pak andika ikut banteng yg banyak bohong nya  banteng saya mikir milih banteng",andika_hendi,negatif
pak andika sya mendukung  tlng nnti kalo udah jadi desa sya terpncil jlan saja kecil internet susah tlng di laksanakan ya,andika_hendi,netral
andika hendi,andika_hendi,netral
penasaran sama isi text book atau kertas catatan dari paslon 02 apa an sih ada yang tau,luthfi_taj,negatif
andika hendi di hati,andika_hendi,negatif
anak anak sekarang klo di tanya cita2 nya apa jawabnya polisi termasuk anak saya tapi saya arahkan jangan polisi ya kak tentara aja keren,luthfi_taj,negatif
semoga pak andika dan pasangan yg memimpin daerah jawa tengah,andika_hendi,positif
kelihatan mana yg gugup dan mana yang smart kalau pemimpin dan wakil yang smart bicara tanpa banyak nyontek,unknown,netral
tetep 01 semangat pak andika,andika_hendi,negatif
02 ngomng nya persiden2 trs tetep pilih pak andika perkasa,"andika_hendi, luthfi_taj",negatif
kebanyakan janji yg ada zonk mending yang pasti2 saja tenang bukti nyata  pak andika pimpinan tni banyak perubahan dan kesejahteraan baik mengembalikan kepercayaan masyarakat terhadap tni,"andika_hendi, luthfi_taj",netral
hayo 1 jt an aku andhika,andika_hendi,negatif
masyaallah pandika juos,andika_hendi,negatif
jelas paslon no 1 mendominasi sekali pengetahuan dan strategi kedepan bkn omon janjitok sekelas jendral udah mikirannya langkah strategisnya dalam permasalahan tertentu tinggal tunggu hasinya gmn nanti,andika_hendi,positif
andika hendi  no 1 yes,andika_hendi,negatif
debat calon gubernur dan wakil gugernur jawa tenah,unknown,positif
"kpu jateng kurang kreatif tidak mnyentuh harus untuk mmilih foto foto objek wisata pengunungan dn persawahan 
 pertanyaan kepanjangan membuang waktu nya",unknown,negatif
nomor 1 jos,andika_hendi,positif
ayo jawa tengah maju bersama jendral andika jangan kasih ruang t polisimengko polisine keta kete,"andika_hendi, luthfi_taj",negatif
jawa tengah maju bersama tni bpk andika yes,andika_hendi,positif
jateng perkasa,andika_hendi,netral
no 2 baca baca baca,luthfi_taj,negatif
no 2 kebanyakan teks book,luthfi_taj,netral
no1 jos,andika_hendi,negatif
jualan agama paling laku ya di jateng,unknown,positif
demi bangsa saya pilih pak lutfi10 th kemarin indonesia dikuasai partai yg bnyak korupsinyaindonesia bisa hancur karena korupsi  narkoba,"andika_hendi, luthfi_taj",negatif
