comment,paslon
pak andika dan hendra sangat sangat layakpintar rendah hati menguasai keadaancontoh seorang pemimpin,andika_hendi
pilih nmr yg sesuai sama tujuan indonesia emas pak prabowo,luthfi_taj
dari segi wajah aja pak prabowo kepaksa kala itu promosikan paslon 2,luthfi_taj
ora ngaru jokowi dukung kmandika sllu sendiri dalam peperanganpaham itu polisismoga kalian bisa memili mna yng baikmakasih,"andika_hendi, luthfi_taj"
no untuk preman jalanan berseragam,unknown
itu cuman ilusi tak akan ngaruh sama sekali buat masyarakatngaruh yang dekat sama paslonnya doank yakin,unknown
pilih 02 karena ngalap berkahnya kyai saya,luthfi_taj
terlalu muluk2 programnya 02,luthfi_taj
daya sains harus di majukan,unknown
jawa tengah megah dan indah  semoga  berjaya semua nya,unknown
dua duany dari pak brabowo,luthfi_taj
nomor 1,andika_hendi
andika yess,andika_hendi
itu pantunnya kok ikan asin dimasak pake santanga enak bro wakak,unknown
semarang untuk andika hendy gak ngurus partai kami cinta tni daripada ladusing,andika_hendi
اندكا هندي ممتاز,unknown
"saya aja dari nias nge fans banget sama pak andika ini
rendah hati sopan santun dan sangat merakyat
kalau saya termasuk orang jateng saya sudah pasti nyoblos pak andika",andika_hendi
andika hendi unggul ya banjir dukungan,andika_hendi
buangbuang energi jateng sudah kapok dengan banteng 10 tahun pada ngapain aja,andika_hendi
jateng tetap pak andikapak hendi,andika_hendi
"saya kagum sama pak andika sejak jadi ksad tni saya sering liat youtube jenengan bagaimana jenengan memperlakukan istri masyarakat cara senyum sampai cara berbicara saya akan bantu jenengan untuk jadi gubernur seperti saya bantu pak prabowo jadi presiden saya berharap jenengan bisa jadi gubernur jateng yang terbaik dari sebelumnya saya bersyukur ternyata orang saya kagumi adalah calon gubernur jawa tengah dimana saya termasuk daerah didalamnya saya hidup

dari muhlisin desa karangjati kabupaten pekalongan","andika_hendi, luthfi_taj"
pak andika lebih smart dan langsung ke inti solusi lutfi cuma muter2 gajelas isi otaknya cuma apem,"andika_hendi, luthfi_taj"
maju terus pantang mundur p andika majukan jateng,andika_hendi
saya pilih tni krn tni bersama rakyat jawa tengah perkasa,andika_hendi
pilih no 1 bukan krn partai tapi dari kinerja sblmnya,andika_hendi
pilih pemimpin itu musti pilih orangnya yang penyabar jujur membela rakyat kecil tidak banyak janji janji,unknown
all in 01,andika_hendi
saya warga ambon tapi idola banget sama pak andika semoga saja pak andika dan pak hendi lolos sebagai gubernur dan wakil gubernur,andika_hendi
padahal wajahnya 01 kaya song kok komennya pd dari hati2 semua to malah argumennya selalu merendahkan,"andika_hendi, luthfi_taj"
aku yes pak jendral andikaaku cuma bisa mendoakan semoga terpilihkarena saya ga bisa mencobloslg merantodi sulut,andika_hendi
kalem vs ambisi  jateng perkasa,andika_hendi
ya bagi siapa saja yang jadi saya mohon desa kami diperhatikan secara menyeluruh soalnya kami butuh jalan raya desanya yaitu desa torsino sebelah timur disitu ada tanggul dan sungae tolong itu diperhatikan kami warga setempat sangat berharap agar tanggul tersebut dijadikan jalan raya pintas sampae kecamatan kutoarjo soalnya tanggul itu sudah pada longsor dan sejak taun 98 sampae sekarang belum ada perbaikan tanggul dan gebanyaka dananya dimakan para bejabat,unknown
ganjar kok gak nyalon lagi biar seru debat nya,unknown
semoga pilkada jawa tengah lancaraamiin,unknown
mantap,unknown
tni lebih bisa di percaya,andika_hendi
pak warga timbul sloko pemukiman yg hampir tenggelam di demak pt semen indonesia yg ilegal di tanah warga kendeng nasib nelayan dekat pltu batang dll kalo udah menang mereka masih menangis gak didengar bulshit apa yg disampein,luthfi_taj
serius kesehatan gratis,unknown
andika,andika_hendi
banyak buzerr ini,unknown
kelasnya andika  adalah calon presiden ri 1,andika_hendi
ramba vs sambo,luthfi_taj
sambo jiwa nya baik tulus dengan rakyatnya tidak neka neko dlm memimpin rakyatnya insya allah di tangan sambo jawa tengah akan makmur dan sejahtera aamin ya rabbal alamin,luthfi_taj
jateng pilih satu andika perkasa,andika_hendi
bawa bawa nama jokowi dan prabowo pula wkwk,luthfi_taj
biarpun 02 banyak spanduk aku ttp pilih 01,"andika_hendi, luthfi_taj"
saya sekeluarga besar pilih tni bukan polisi,"andika_hendi, luthfi_taj"
yang penting strategi bukan janji,unknown
kita butuh pemimpin yg siap bekerja untuk rakyat jateng yg lebih baik dan perkasa,andika_hendi
pak hendi kerjanya memang benar nyata kecepatan strategi joss,andika_hendi
saya lihat comment yourube condong ke 1  tapi aku lihat realita di lapngan banyak yg condong ke 2  karena memang kampanye buat warga2 tertinggal tidak berdasarkan debat,"andika_hendi, luthfi_taj"
usrek wae to gus,luthfi_taj
"selama calon nya di dukung banteng 
knp pak andika ikut banteng yg banyak bohong nya  banteng saya mikir milih banteng",andika_hendi
pak andika sya mendukung  tlng nnti kalo udah jadi desa sya terpncil jlan saja kecil internet susah tlng di laksanakan ya,andika_hendi
andika hendi,andika_hendi
penasaran sama isi text book atau kertas catatan dari paslon 02 apa an sih ada yang tau,luthfi_taj
andika hendi di hati,andika_hendi
anak anak sekarang klo di tanya cita2 nya apa jawabnya polisi termasuk anak saya tapi saya arahkan jangan polisi ya kak tentara aja keren,luthfi_taj
semoga pak andika dan pasangan yg memimpin daerah jawa tengah,andika_hendi
kelihatan mana yg gugup dan mana yang smart kalau pemimpin dan wakil yang smart bicara tanpa banyak nyontek,unknown
tetep 01 semangat pak andika,andika_hendi
02 ngomng nya persiden2 trs tetep pilih pak andika perkasa,"andika_hendi, luthfi_taj"
kebanyakan janji yg ada zonk mending yang pasti2 saja tenang bukti nyata  pak andika pimpinan tni banyak perubahan dan kesejahteraan baik mengembalikan kepercayaan masyarakat terhadap tni,"andika_hendi, luthfi_taj"
