comment,kebijakan,sentiment
apbn boncos karena dipakai dengan tdk bertanggung jawab rakyat yg tambah derita,ppn_12_persen,positif
apakah naikin pajak buat bantu negara orang sehingga rakyat sendiri di peras naikin pajak boleh asal setara dgn gaji perbula di negara kalau pajak naik gaji 1 juta 500 mau nyuruh makan sampah lu pemerintah,ppn_12_persen,negatif
naik 58 pun kami dukungayo joged yuk,ppn_12_persen,negatif
ga bisa dihindari pemerintah dah eaktu bayar hutang lncicilan dan bunga tu hrs bauar brpa apbn gaji tni peg neg pend tni sipil pensiunan anggota dpr kepres sby gaji dpr gaji lembaga2total bisa 50 apbnduit pajakanggaran lemntrian bumn  itulah yg dilakukan ahli ekonomi sri mulyaniya pantesan pettumbuhan ekonomi4 tau 5 kalau resesi bagaimanabanjir tanggul jebol duit dri manajalan2 hancur kebanjiradah nasib rakyat demen pemilu,ppn_12_persen,negatif
2025 gelap,ppn_12_persen,negatif
pengemplang pajak disayang dari yg ngemplang pajak kendaraan tiap tahun dikasih pemutihan pengusaha pengemplang pajak dikasih diskon urusin tuh pajak yg belum dibayar pengusaha tambang,ppn_12_persen,negatif
demi kesehatan apbnapbn sehat gaji dan tunjangan aman,ppn_12_persen,positif
pajak 99 pun klo dikorup sama pejabat2 ya ga bakal pernah cukup juga tamaknya koruptor itu ga ada habisnya sibuk sedot rakyat tapi bocornya ga diberesin,ppn_12_persen,negatif
hayo kita tolak pajak naik,ppn_12_persen,negatif
pengusaha pkp wajib terbitkan ppn 12 tapi kalau costpembeliannya dari penyedia2 yg belum pkp tambah berat krn pengusaha pkp tsb tdk punya kompensasi dari ppn masukannya sementara penyedia2 itu hrs menkonsumsi produk2 yg sdh dinaikan ppn nya shg hrs berhemat akibatnya dunia usaha lesu,ppn_12_persen,negatif
kita gak usah bayar pajak ambil sstu contoh saja  jangan bayar pajak kendaraan amburadul dah jadinya,ppn_12_persen,negatif
gimana apbn nggak defisitsudah ada thr masih ada gaji ke 13 asn blm lagi pph anggota dpr ditanggung pemerintah,ppn_12_persen,negatif
dari pada membebani rakyat yg lg susah saat ini daya belinya kenapa ga dibereskan kebocoran dr pajak memang pemerintah sdh pastikan pajak yg masuk tdk ada kebocoran atau dikorupsi,ppn_12_persen,negatif
pajak naik terus tp tunjangan pejabat naik mulu yg benar harusnya kan tunjangan2 pejabat dulu yg di turunin,ppn_12_persen,negatif
kurangi saja wakil mentri staf khusus dan jubir yang tidak jelas hanya bagi2 jabatan yang justru membebani anggaran negara,ppn_12_persen,negatif
berantas dulu tuh para koruptor yang maling uang negara yang jadi penyebab kebocorankebocoran uang negara jangan jadinya malah rakyat yang dibebani kpk diperkuat jangan malah digembosi akibatnya kpk sudah tidak punya taring bisanya hanya ott kasus suapmenyuap sedang oknum2 pejabat dan aparat negara seenaknya mengkorupsi apbn apbd dan dana desa serta anggaran2 negara lainnya yang harusnya hal tersebut menjadi prioritas penindakan hukum oleh kpk ibarat pepatah rakyat sudah jatuh ketimpa tangga  pula,ppn_12_persen,negatif
kalo bisa dibubarkan pemerintah bubarkan sajasaya rakyat sungguh kecewa,ppn_12_persen,negatif
boikot saja produk2 yg kena kenaikan ppn krn pridusen melimpahkan pajaknya kpd konsumen,ppn_12_persen,negatif
rakyat bersatu melawan pecekikan secara paksa dengan dalih udah sesuai undang undang uu mudah ko di buat masalahnya udah bijaksana belum dalam pembuatan uu,ppn_12_persen,negatif
