comment,kebijakan
pemerintah biadab tidak bisa cari duit kecuali dengan malakin rakyat tidak sekolah juga semua bisa jadi tukang palak,ppn_12_persen
saya percaya dan optimis dengan pemerintah yg ada sekarang,ppn_12_persen
bikinlah undang2 untuk mencabut kewarganegaraan indonesia bagi koruptor di indonesia n sita seluruh aset atau hukum mati,ppn_12_persen
barusan sehubungan dengan kebijakan terbaru pemerintah indonesia mengenai penyesuaian tarif pajak pertambahan nilai ppn untuk produk dan layanan digital kami beritahukan bahwa mulai 1 januari 2025 pelanggan indosat hifi akan mengalami penyesuaian tarif pajak yang akan meningkat dari 11 menjadi 12 perubahan ini akan tercermin secara otomatis pada halaman tagihan dan invoice indosat hifi kamu demikian pemberitahuan ini kami sampaikan kami berterima kasih atas pengertian serta kepercayaan kamu dalam menggunakan layanan indosat hifi salam hangatindosat hifi,ppn_12_persen
tidak usah naikin ppn cukup 1 turunin gaji pejabat2 kurangin stok pejabat pejabat dengan staffnya mulai pusat sampai bawah ntuk mengurangi beban gaji pejabat3 hentikan lowongan as dan uang pensiun asn krn membebankan negara dalam menggaji mereka 4 hukum mati koruptor dan miskin dengan mengambil aset2nya baik yg milik sendiri atau yg milik negara 5 hapus dana desa krn memperkaya kepala desa dengan semua ini negara tidak butuh kenaikan ppn krn menyengsarakan rakyat kecil,ppn_12_persen
naik kan pajak barang mewah kok hanya 1 buk ibuapa tidak sama dengan bohongminimal 2 dong naik nyaingat dan tanamkan dalam hati jangn di korupsi lo pajaknya,ppn_12_persen
warga 58 sangat bangga melihat ini,unknown
anehnya orang ini tukang doyan ngutang dan meras pajak rakyat tp brp presiden tetap pake saja knp yach,ppn_12_persen
jogetin aj gemoy,unknown
sebelum ibu sri mulyani bicara dilapangan semua sudah naik termasuk bahan makanan pokok ini semua garagara banyaknya korupsi harusnya koruptor di hukum matikoruptor harus dihukum mati seluruh hasil malingnya di sita jika tidak maka indonesia begitu2 saja dari tahun ke tahun,ppn_12_persen
yakin akan merembet ke harga kebutuhan pokokmemangnya mereka diam menanggung sendiri,unknown
kebiasaan pemerintah last minutes baru ada penjelasan ini barang2 sdh pada naik lhoo,ppn_12_persen
gombal,unknown
ceramah perampok,ppn_12_persen
akibat simpang siur pemberlakuan ppn12 dari menteri ex mulyono barang sudah pd naik dulu bu mulyani jadi tidak ngefek rakyat tetap kena dampaknya,ppn_12_persen
y,unknown
gara gara banyak yg demo akhirnya di rubah lagi kemaren beras premium kena pajak skrg tidak kena pajak,ppn_12_persen
bbm dan listrik tetap naik tidak ya,ppn_12_persen
ini pemerintah sedang test ombak atau gmana jika tidak ada penolakan masif di media sosial apakah mereka akan kenakan semua 12 ppn sekarang kok barang mewah seperti kapal pesiar yacht private jet mereka sedang bikin gaduh sendiri kenyataan di lapangan semua harga sembako sudah pada naik,ppn_12_persen
ayolah masyarakat indonesia jangan gampang di bodoh bodohkan oleh penguasa hanya permainan kata kata saja kalaupun mau barang mewah ya ppnbm saja di naikan,ppn_12_persen
harga barang sudah naik kami yah semakin,ppn_12_persen
trimakasih bu sri mulyani dan pak prabowo sdh menaikan pajak 12mmg selama ibu menjabat menkeu prestis ibu sri hanya menaikan pajak itu sj tdk ada prestis kebijakan lain selama 20 tahun menjabat menkeu sekali lagi rakyat mengucapkan banyak trimakasih atas kado tahun baru nya ini baru gebrakan awal tunggu menjelang lebaran bbm dinaikan lg makin sejahtera lah rakyat indonesia,ppn_12_persen
pembohong,unknown
jangan bisanya peras rakyat dari efek keputusannmu periksa kelakuan anak buahmu yang mencuri uang pajak rakyat cukkk,ppn_12_persen
kasian para pekerja di swata yg honorer tambah miskin nanti bakal pada tarung terus sama istri,unknown
beli kopi biasa 12000 sekarang jadi 14000,ppn_12_persen
yang membuat miskin negara adalah koruptor ini malah pajak yang dinaikin bikin heran koruptor malah dipelihara,ppn_12_persen
hanya bermain kata kata saja jika yg dimaksud barang mewah yg disebut harusnya ppnbm bukan ppn jika bicara ppn maka itu mencakup semua,ppn_12_persen
conten sdmr memang cari berita yg mengarah ke gaduhan di indo itu kan lebih laku,unknown
jangan percaya bacot si pikacu,unknown
spg imf,unknown
ibu menteri baik2la atur urusan uang negara ini dan dipastiakan harus dipertanggungjawabkan di hadapan tuhanmu paling tidak nanti ditanya2,unknown
tingkat kepercayaan rakyat yg rendah juga minimnya pengetahuan ttg perpajakan memberikan peluang bagi para content creator untuk menggoreng isu ini di medsos untuk cari cuan sebanyak2nya kenaikan harga sembako pada saat hari libur nasional natal tahun baru lebaran adalah hal yg sudah lumrah terjadi namun krn ya itu tadi banyak berita yg memprovokasi masyarakat otomatis memberikan peluang bagi beberapa pelaku pasar menaikkan harga dengan alasan ppn,ppn_12_persen
pajak gede cemen ama koruptor indon indon negara badut,ppn_12_persen
ini merinci atau belajar mengeja yg benar moncong lu pikacumalaikat sesatsiluman,unknown
wo kalau boleh sy usul makan anak gratis dibatalin saja deh bakal ribet itu pasti perkelas akan kebagian semua kalau murid anak orang kaya tidak dibagi kan kasian juga tar mereka pd ngiri protes lgi rusuh lgi n tar guru juga pengin pengurus juga ingin satpam juga ingin pengin dibawa kerumah juga hehe dan hadeuhh,unknown
berarti ppnbm beritanya bukan ppn dong,ppn_12_persen
mentri konyol dalam sejarah,ppn_12_persen
dengan seribu alasan ujung2ny kenaikanknp tidak difokuskan uu korupsi,ppn_12_persen
tpi kok di kantor saya udh ngeluarin surat ke konsumen pajak naik menjadi 12 ya,ppn_12_persen
minyak goreng kemasan dari 15 k kemaren beli 17 k 0 gmana mba sri ni,ppn_12_persen
bisa tidak sih ni orang koit saja beban negara bgst,unknown
kalaupun tidak viral tidak ada penolakan dari rakyat pasti pemerintah diem2 saja nih,ppn_12_persen
ehh bersyukur dulu warga indo terhormat untuk pajak ppn hanya berlaku kenaikan untuk barang mewahjadi orang bersyukur sedikit kenapa,ppn_12_persen
negeri katanya sda kaya tapu kok msh kere,unknown
judulnya yg kena ppn 12 hanya barang mewah tp karena strategi lobi2 nya tidak ada strategi berimbas juga dengan barang biasa naiknya di lapangan sekarang menurut saya mending naik saja sekalian biar harga sekarang di lapangan itu udah masuk 12 dari pada dengan harga skrg tp masih tercatat 11 menolak parsial sama saja dengan menerima semua usulan undang2 pada kenyataannya di lapangan,ppn_12_persen
barang mewah hahaha tahi listrik pulsa dan beberapa hal udah naik duluan bahkan pln saja sampe ngasi diskon 50 selama dua bulan listrik juga barang mewah saya harap ad riot gede sampe kepala pejabat tahi ini pada dipengl di jalan sama masyarakat,ppn_12_persen
regulasinya saja deh bu tolong di buat dh terlanjur sistem di setting 1 januari 2025 n sdh di buat surat kesemua customer agent ntr bilng 11 besok pagi berubah lg cape dehhh,ppn_12_persen
mentri tertaikk,ppn_12_persen
makanya bapa2 ibu2 punya anak jangan banyak2 sulit biaya hidup sulit dapat kerja krn terlalu banyak uwongorang noh sarjana saja pd jadi tukang gojek mau nyampe ribu,unknown
setuju pajak orang kaya naik,ppn_12_persen
pengumumannya mepet hari h semntra itu semua harga pangan dan angsuran sudah menaikkan harga nya,ppn_12_persen
kae paprika indomi dite for bu dia jual indomi ssh dengan ppn 11 juga warung sayur al barokah dia tambah ppn 11 aplg jajan pecel lele di pondok galuh pasti ppn 11,ppn_12_persen
srimuliani yg keluar dari indo,ppn_12_persen
minyak kpan dituruniankurubtor kpan digntug mati,ppn_12_persen
ibu ini tukang ngutang sama tukang tagihtapi lupa banyak koruptor pembocoran keuangan negara,ppn_12_persen
kenapa tidak sita saja dari koruptor kenapa rakyat yg diperas kenapa koruptor hukumnya ringan kenapa adilkah itu,ppn_12_persen
terima kasih pak prabowo ternyata menepati janjinya untuk tetap pro rakyat kecil dan utk pajak memang patutny dikenakan kepada org2 kaya pak,ppn_12_persen
telat bgt sih ya allah ini perusahaan dh merubah sistem penjualan tarif tiba2 bgini di tambah hanya statemen tanpa ada regulasi utk menguatkan hal ini capee bgt dah pemerintah kerjanya apa sih koo dadakan bgini aneh,ppn_12_persen
pabrik minyak belum nemu yg gde pabrik emas belum jadi batu bara harga murah pertanian hadeuh jadi indo ya ginilah kalau per tahun gajimu bisa naik maka ppn juga naik,ppn_12_persen
kategori limited dampaknya unlimited,unknown
tapi barang barang di pasaran udh pada naik semua gmna cerita nya,ppn_12_persen
akhirnya mentri dracula mengalah juga dalam mengisap darah rakyat,ppn_12_persen
mulyani ini mentri apa setan,ppn_12_persen
apa ngaruh ya 1 buat tertentu saja yg mewah lg,unknown
berobat naik internetan naik ke bengkel naik dikira masyarakat kecil itu seperti suku primitif yg tak butuh barang kena ppn,ppn_12_persen
mana mau pengusaha nanggung 100 kebutuhan ppn nyaadukhh rakyat2 lagi dah,ppn_12_persen
kok ribet bangetcoba pikir pakai akal sehatkalau benar barang mewah yang kena ppn 12 kenapa ada stimulus untuk warga miskin selama 2 bulankan warga miskin tidak kena ppn 12aneh tidak,ppn_12_persen
terbitkan payung hukumnya minimal perpres dan aturan turunannya pmk hingga peraturan dirjen pajak dirjen bea cukai biar sinkron aturan dan tata laksana dari level atas ke bawah nya,ppn_12_persen
yang mao kawin lagi kenain ppn 12 juga bu,ppn_12_persen
pada dzolim banget sm rakyat ya apa tidak takut pertanggungjawabannya di akhirat nanti,ppn_12_persen
ada yg lemes ternyata duit yang masuk hanya dikit semangat buk cari cara lagi buat bikin susah rakyat banyak,ppn_12_persen
listrik di mulai 2200 dan kebawah dapat disc 50 kita buktikan saja januari dan febuari,unknown
1 kaya kan koruptur2 kasi koruptur fasilitas negara3 ppn nol buat koruptur4 koruptur harga matijir seru banget,ppn_12_persen
sehebat apapun kamu saya sudah bosen sama tingkah mu,unknown
logikanya ginipengusaha orang mampu enak saja saya tidak mau rugi dong sama usahaku pemerintah sudah naikkan pajak restorankusecara otomatis pengusaha akan menaikkan ppn yg tertulis di struk belanja 11 jadi 12dan itu bakal berdampak ke masyarakat menengah dan daya beli masyarakat bakal mengalami penurunan,ppn_12_persen
xpander kena ppn 12 ngak ya,ppn_12_persen
pemerintah sekarang em kena getah kesepakatan sebelumnya tidak jalanin undang2 salah tp terimakasih sudah bersikap bijak tdk menaikan semuanya apalagi ada yg tdk dikenakan ppn,ppn_12_persen
teuteup saja buuu imbasnya ke rakyat jelata kalian para pejabat dan konglomerat yg tidak pernah ngrasain susah tapi kalau allah swt sudah berkehendak kun fayakuun hanya sekejab saja kalian para pejabat dan konglomerat tak akan pernah bisa menikmati kekayaan kalian karena allah swt punya cara yg kalian tidak punya,ppn_12_persen
rakyat konoha hanya suka dengar angkanya sj ppn y 12 anggap ini lahan buat bisa rusuh mereka tidak mau tahu rincian dtaailnya mereka yg penting rusuh,ppn_12_persen
gedebus,unknown
rumah dinas pejabat yang milyaran itu krna pajak tidak,ppn_12_persen
keuangan negara boncos gara2 ibu ini sm mulyono,ppn_12_persen
rakyat mendorong pemerintah dan dpr serius menangani kasus korupsi dengan tepat,ppn_12_persen
waduh menteri lama dilibatkan ke presiden barurakyat yg tanggung lah,ppn_12_persen
jadi yg kemarin ribut demo menolak ppn 12 asalah para pemilik jet pribadi kapal siar,ppn_12_persen
ini prank wooii,unknown
sri saya mau tanya bhcelana dalemcewekkancutkena ppn tidak,ppn_12_persen
tapi kenapa pabrik cat menaikan harga semua padahal kan bukan barang mewah,ppn_12_persen
praktek nya di lapangan naik semua,ppn_12_persen
negara lawak,unknown
koruptornya belum bayar pajak,ppn_12_persen
kenyataannya laen semua jadi 12 ayo tanggung jawab pemerintah atas kesimpang siuran inimasyarakat di peras terus koruptor semakin merajalela dan yang tertangkap dihukum ringan,ppn_12_persen
yang demo dan tidak setuju fix itu suruhan cukong2 karena naik 1 untuk barang mewah,ppn_12_persen
ini lg mentri keuangan 3 priode,ppn_12_persen
masih banyak kaum 58 yang tidak perduli pajak naik dan harga kebutuhan pokok naik,ppn_12_persen
nah lo itu ada yg tidak kena ppn selama ini kok kami semua hal kena 11 termasuk medis dan pangan,ppn_12_persen
lhangomong nya barang mewah pasir batu kerikil saja naik beton ready mix isi batu kerikil pasir dan semen naik tuh mewah apanya,ppn_12_persen
serbah salah pak prabowo di mata anak abah,ppn_12_persen
menteri tongkosong bu sri mulyani kata hebat,ppn_12_persen
negeri seribu dongengyg katanya kaya raya akan sumber daya alamtapi untuk apbn masih mengandal kan pajak untuk memenuhi nya,ppn_12_persen
mantap ini baru adil,unknown
ppm di situ juga kan sudah tercantum ppm pajak penjualan barang mewah jadi masa harga sembako naik apalagi yg slalu menggoreng katanya solar bensin ikut naik pokonya rakyat cepet sekali terprovokasi tukang gorengan,ppn_12_persen
bikin resah itu akibat cepet di goreng oleh orang yg merasa dirinya tak dapat jatah jabatan atau kalah seperti soal mau memaafkn koruptos asal tobat yg menggoreng mahfud md,unknown
ibu menteri ini kinerjanya sangat bagus tapi atasannya minta kebijakan yang aneh2,ppn_12_persen
eeeh ada mulyani adiknya mulyono,ppn_12_persen
dilapangan lain ceritanya,unknown
sri mulyani kelamaan nongkrong sama mulyono jadi beku otaknya mati rasa,ppn_12_persen
perampasan aset koruptor yg utama,ppn_12_persen
distributor produk fmcg sudah pada ngeluarin surat edaran kenaikan ppn 12 ke outlet termasuk obat obatan,ppn_12_persen
banyak cerita kamu bu smua pasti naik ekonomi sulit kejahatan pasti meningkat,ppn_12_persen
sah kan uu perampasan hukum mati,unknown
batalkan semua saja ppn 12,ppn_12_persen
gemoy,unknown
tipu daya sri mulyono di mulai,ppn_12_persen
kalau ternyata semua barang banyak naik apa ibuk ini akan tutup mata dengn mengatakn itu bukan yg diaturnya,ppn_12_persen
sakarep mu,unknown
kalau ternyata semua barang banyak naik apa ibuk ini akan tutup mata dengn mengatakn itu bukan yg diaturnya,ppn_12_persen
bu ini jasa mewah apa ya,unknown
barang mewah apanya kok obat obatan semua juga di kenakan kenaikan ppn 12 kami ini pemilik apotek terpaksa menaikkan harga,ppn_12_persen
pajak ppn naik 12 efek domino nya semua barang pasti naik,ppn_12_persen
halah tetep bu yg kena imbasnya mah rakyat kecil,ppn_12_persen
silahkan dinaikan ppn bu mentriterus siapa yang mau beli apa2 mahaldaya beli lemah roda ekonomi macet total,ppn_12_persen
kapok mu kapan sri mulyani ntah kapan kowe di ganti jadi mentri,ppn_12_persen
tapi kalau orang kaya itu menaikkan harga bara bisnisnya emang ngak bisa mereka pajak naik bayar pajak lebih lalu mereka ounya bisnis jualan makanan apa ndak bisa makanan yg dijual tidak dinaikkan,ppn_12_persen
ratu pajak,ppn_12_persen
uang harvey moeis korup saja bisa buat nutupin pajak,ppn_12_persen
orangorang kaya yg pada beli mobil mewah atau mao mengkoleksi nya dirumah seperti lamborghini mercedesbenz dll lumayan kan 12 nya dari 31 milyar kalaupun yg mao beli tas brandit seharga 50 juta kena juga kan kalaupun saya mah paling beli dompet seharga 100 ribu kalaupun pun 100 ribu dikenakan ppn juga paling ppn nya hanya 12000 rupiah tidak berat lah ya ehehehe,ppn_12_persen
korupsi ibaratkan kanker ditubuh nkri akan cepat atau lambat indonesia akan hancur karenanya,ppn_12_persen
lu pensiun saja lah bu,unknown
ribet naikin ppnmendingan uang para koruptor sita sampai ke akar akar nyabanyak tuh,ppn_12_persen
makan kamu goyang gemoy,unknown
para pemuja omon2 jangan marah kalau masyarakat komen pedes sama pemerintah ini kado terindah 2025 utk kaum 58 nikmati saja dan joget in oke gas,ppn_12_persen
andai realisasi lapangan berbeda bagaimana kami msngadu apa adano telp pengaduanya,unknown
sak karepmu,unknown
woooyyyy produsenwoooyyyy pedagang dengeriiiinnnnn tuuuuhhh tidak ada kenaikan nyoongdengeeerrrr tuuuhhhh belum di umumkan ajaaa lu semuaaaa dah pada banyak yg naikin barang di pasarbecanda yaaatapi efeknya tidak main2 k masyarakat,ppn_12_persen
mau tanya donk bumn itu apa y lerjanya apa y kalau badan usaha milik negara harusnya dia yg di push buat cari duit k luar biar negara kaya rakyat makmur knp jadi naikin pajak bikin rakyat gelisah mana susah lagi cari kerja cz dah di atas umur standard aduuh pusing saya,ppn_12_persen
antek raja omon2,unknown
