comment,comment_target,sentiment
woah mother russia i love this country,russia,positif
if the russian federation is allowing or condoning hackers within its territories to interfere with the gps system so vital to safe navigation for civilian airliners and passengers it has truly become a pariah state on the global stage,russia,negatif
if russia can jam the bread they can eat it aswell,russia,negatif
brilliant russia,russia,positif
how could this be i thought ukraine downed 7000 of the total 1400 missiles that russia ever releasedand ukraine also downed 9000 of the 400 drones that russia ever released and ukraine also shot down 3500 of the entire 140 total jet fighters that russia ever used in ukraine i heard that zelenskyy was a comedian and a clown but this is the first time i heard he was a magician as well,"russia, ukraine",negatif
russian technology is amazing,russia,positif
jamming the gps used for targeting system is part of every electronic warfare system that is a reality even the us have them and is using them in ukraine they are complaining because it appears that the russians is better their missiles gps guided bombs and artillery rounds are missing their targets back to the drawing board,"russia, ukraine",negatif
lol the russians just fked up space force and its too funny and then just in case you thought they couldnt do it they shoot down a satellite i imagine though that american satellites have special fancy radar absorbing paint or material on them that makes them much more difficult to target,russia,negatif
political drama propagandas from our end against russiaweve got nothing else to do,russia,negatif
great work president putin,russia,positif
go russia destroys those neonazis,russia,negatif
us wawawa what did you expect russian propaganda,russia,negatif
russia understands very well the technology of the west,russia,positif
good russia keep going,russia,positif
war tactics to get the russians to start jamming drones and exposed their position for the himars remember they said ukraine was getting ready for a counter in donbass then the russians focus their defense in that region and then boom all their bases in crimea destroyed,"russia, ukraine",negatif
for all the russian trolls here trolllololol z kypba bbi kypba,russia,negatif
god bless president putin and the people of russia glory to president putting and the people of russia,russia,positif
america is smarter than russia so u will get the gps signal fixed so cut off china and russia gps america can block russia and china ask elon how to fix this problem for elon can fix it period,russia,negatif
