comment,comment_target
israel is doing it now what is your excuse,unknown
cant nasa give soldiers watches for military fir gps,unknown
gps is a comfort not a need,unknown
cry about it ustards,unknown
before or after that ship made the bridge collapse hmmmmm,unknown
woah mother russia i love this country,russia
its time for the us to upgrade its warfare technology this technology has already been more than three decades old i assume it will take this matter as serious as possible please dont wait until the enermy desploys many of those jammers on the fields,unknown
looks like an act of war america needs a real president one that hasnt been contaminated with socialism,unknown
if the russian federation is allowing or condoning hackers within its territories to interfere with the gps system so vital to safe navigation for civilian airliners and passengers it has truly become a pariah state on the global stage,russia
gps jamming tech was available to us from reverse engineering secrets of skin walker ranch in the tv documentary the ancient aliens had the prototype buried in triangle areas under the interdimensional wormhole on the utah ranch,unknown
if russia can jam the bread they can eat it aswell,russia
we are supplying them,unknown
brilliant russia,russia
like the us dollar be sure to lose it if you weponise it world will use non us gps if you use it for war,unknown
hier der darcho jandreoski pegasus galactica 7 heute werden 7000 tausend staat usa parlamentarier aus aller welt in staat usa im automobile mit sattelit antenne fluchtend sterben fassen sie mich darcho jandreoski pegasus galactica 7 nochmal an werden morgen wieder 7000 staat usa parlamentarier mit automobile fluchtend sterben,unknown
why do they not use the civil version of glonass galileo and other traditional navigation options to increase the precision of gps and why do they not use data from spy satellites,unknown
how could this be i thought ukraine downed 7000 of the total 1400 missiles that russia ever releasedand ukraine also downed 9000 of the 400 drones that russia ever released and ukraine also shot down 3500 of the entire 140 total jet fighters that russia ever used in ukraine i heard that zelenskyy was a comedian and a clown but this is the first time i heard he was a magician as well,"russia, ukraine"
what did you expect,unknown
russian technology is amazing,russia
jamming the gps used for targeting system is part of every electronic warfare system that is a reality even the us have them and is using them in ukraine they are complaining because it appears that the russians is better their missiles gps guided bombs and artillery rounds are missing their targets back to the drawing board,"russia, ukraine"
lol the russians just fked up space force and its too funny and then just in case you thought they couldnt do it they shoot down a satellite i imagine though that american satellites have special fancy radar absorbing paint or material on them that makes them much more difficult to target,russia
so cant we jam their signals too,unknown
political drama propagandas from our end against russiaweve got nothing else to do,russia
yep thought so how else would those tanks hidden in the woods have gotten nailed,unknown
great work president putin,russia
lol,unknown
go russia destroys those neonazis,russia
us wawawa what did you expect russian propaganda,russia
russia understands very well the technology of the west,russia
i never needed gps i m used to reading cards,unknown
good russia keep going,russia
war tactics to get the russians to start jamming drones and exposed their position for the himars remember they said ukraine was getting ready for a counter in donbass then the russians focus their defense in that region and then boom all their bases in crimea destroyed,"russia, ukraine"
for all the russian trolls here trolllololol z kypba bbi kypba,russia
god bless president putin and the people of russia glory to president putting and the people of russia,russia
america is smarter than russia so u will get the gps signal fixed so cut off china and russia gps america can block russia and china ask elon how to fix this problem for elon can fix it period,russia
omg it could be worse omg gps,unknown
its crystal clear now the dream of pres putin in invading ukraine and occupying donbass region crimeato have a linkland bridge to moldova via transnistriastaged unrest is now happening all his alibilike oppression of russianspeaking nationals denazi fication of ukraine countries joining nato are all pretext superficial his imperialistic ambition of restoring ussr monopolizing the azov sea is his primary goal and he wants no hindrance along the way he curtailed press freedom limit social mediato contain information outlaw free speech criminalize real stories about the war oligarchs mysteriously disappeared jailing or eliminating of officials etc this is a blatant display of power we never imagine this would happen in modern times have we thought how desperate putin is now hes barely trying to survive really old habit is hard to die,"russia, ukraine"
then why dont somebody make a signal bubble to use at certain times,unknown
cant believe the russians havent neutralised all spy satellites as a mater of course,russia
can the russians please jam anything coming from the kardasians please,russia
i am a paramecium,unknown
how stupid is this you are at war with russia,russia
czar putindefecting to chinagones insane,russia
please tell russia we see what is really going on,russia
hears pooptindefectedwentawols,unknown
russian should gam all usa weapons send to ukrane,russia
just keep pumping usa tax money in russia takes it all all the wepons sent tratour china joe destroyed the usa,russia
the us government has no business entangling us in foreign affairs,unknown
just desperate thats all,unknown
i know russia shot one of its satellite so you news readers are you saying russia shot another of there satellite down,russia
i no russia shot down one of its satellite so you are saying russia shot another of its satellite,russia
they said russia is using 6070s technology and is failing on all fronts,russia
boo hoo lol,unknown
oh that is so sad given that america has used ukrainian hackers for years to operate bots on all the social media platforms registered in the us to sway public opinion around election times it seems a bit sad that russia has some method of blocking gpss handed to the hapless ukrainian flunkies of the fourth reich whom i am certain are starting to ask what it like in the hague at this time of year blinken should be to,"russia, ukraine"
biden is the extrimely bad,unknown
they might want to think about jamming tollhouse 2united states will push russia into ww3 we will all feel the pain then,russia
toward russian bidden met attitude in belarus in the relationship of the authorities in his way to lithuania prime minister in many european countries merkel angela german chancellor also you do impose possible difficulty to talk to others also respect a delicate area in the current legislation as regards as the commission all russia again of government access the last summit head of state of government i think since to others i was surprise the decision opinion something differently,russia
why not to use russian glonass too,russia
wow so interesting,unknown
yup lets blame the russians on your incompetance,russia
if we learned anything from halo and cod the jammer is in a close proximity of the devices being jammed,unknown
boom boom russia boom boom baby bye bye ukraine bye bye biden,"russia, ukraine"
good,unknown
god bless ukraine please stay safe xx,ukraine
130 the us did the same too,unknown
americans must be the only people who complain about what the enemy is doing do they really want the enemy should stick to doing things they agree with its so immature,unknown
the russian havent even got signals for their troops in ukraine ffs,"russia, ukraine"
